legId,startingAirport,destinationAirport,isNonStop,baseFare,totalFare,segmentsAirlineName,segmentsCabinCode
4dea8b28c86f62d3734944db70a18f5b,ATL,EWR,TRUE,101,157.59,Spirit Airlines,coach
5bb138f39804320ece767e747608a50e,ATL,EWR,TRUE,171.16,198.6,JetBlue Airways,coach
12ad67f7d97a247ce9c25f604630735f,ATL,EWR,TRUE,175.81,203.6,Delta,coach
9cf3437467baef97dabfee09b53aeb7c,ATL,EWR,TRUE,175.81,203.6,United,coach
e5b348ec4c2ded761c1861d3081ba542,ATL,EWR,TRUE,199.07,228.6,American Airlines,coach
54ab610c7ef547e39550f44ad31a668c,ATL,EWR,TRUE,222.33,253.61,United,coach
d81818f55a51b6e9c9924195e637aef1,ATL,EWR,TRUE,245.58,278.6,Delta,coach
2e054a13a309053b63c0e238d757d658,ATL,IAD,TRUE,226.98,258.6,United,coach
5cfc831f1186378b62f262e7b2c92a54,ATL,IAD,TRUE,338.6,378.6,United,coach
def443f6e1e04c3bbad169e3112395a2,ATL,IAD,TRUE,413.02,458.6,United,coach
3553d6aca390546c031abba5a166afa5,ATL,IAD,TRUE,450.23,498.6,Delta,coach
8201f75d221c7aa5b78f3b7781166032,ATL,JFK,TRUE,171.16,198.6,JetBlue Airways,coach
79f11de3ed601a6aa2a4cd7cd5d6ddd4,ATL,JFK,TRUE,171.16,198.6,Delta,coach
9ffc1d46bd05f1ce6b7afd1c2725a6ca,ATL,JFK,TRUE,194.42,223.6,American Airlines,coach
05a3d380d3beeb248f7050165531b943,ATL,JFK,TRUE,227.91,259.6,Delta,coach
ae04feec3a12621d611a6efc4f17792a,ATL,JFK,TRUE,245.58,278.6,Delta,coach
2fa4af768bd448f6f824c0852b7c0e87,ATL,JFK,TRUE,301.4,338.61,Delta,coach
eba9c4152064973a1bb1e2b8792c689c,ATL,JFK,TRUE,329.3,368.6,Delta,coach
8ef57217e8569023683b48c6db595695,ATL,JFK,TRUE,431.63,478.6,Delta,coach
184852ad5f76a2f83f10848eced24103,ATL,LAX,TRUE,272,328.59,Spirit Airlines,coach
d582dcb95026cae8ebe28925a02c1734,ATL,LAX,TRUE,450.23,498.6,Delta,coach
15f0924be70de19de529808d6ae376af,ATL,LAX,TRUE,543.26,598.61,Alaska Airlines,coach
5113df70efe4b5f2dcfaedce904951b1,ATL,LAX,TRUE,543.26,598.61,American Airlines,coach
4685c8c4f19c0905757edef6d52ee363,ATL,LAX,TRUE,543.26,598.61,Delta,coach
278c247fdadaad11fa5d2c99a50fc3f0,ATL,LGA,TRUE,166.87,193.99,Frontier Airlines,coach
e66e999b88c18d9bfe059e3fcfdbe000,ATL,LGA,TRUE,171.16,198.6,Delta,coach
315e98eefb6b4fde04b2eae04af909df,ATL,LGA,TRUE,171.16,198.6,American Airlines,coach
79352689384430e23285d3b851fb641e,ATL,LGA,TRUE,171.16,198.6,JetBlue Airways,coach
04b54cc67fb033621d6cda255983a24c,ATL,LGA,TRUE,213.95,244.6,Delta,coach
9e49c6ac1d1c46404022e9326c9de09b,ATL,LGA,TRUE,227.91,259.6,American Airlines,coach
ac3e30651b0c6104c432c982975b2ba5,ATL,LGA,TRUE,227.91,259.6,JetBlue Airways,coach
b3172593aaa225fce95a32ae24609094,ATL,LGA,TRUE,254.88,288.6,Delta,coach
7b82bda50b054a7d2b7063b2fec303ed,ATL,LGA,TRUE,1900.47,2057.61,American Airlines,first
53d8b71baf25c6fa350910310182eb16,ATL,MIA,TRUE,152.56,178.6,American Airlines,coach
b3856abc92bcf6c1a8f8bd147b6b3020,ATL,MIA,TRUE,171.16,198.6,American Airlines,coach
a342759c3e44df6fbd1c7b042f979180,ATL,MIA,TRUE,217.67,248.6,Delta,coach
c6067aced208e3ceda742a279f69977b,ATL,MIA,TRUE,282.79,318.6,American Airlines,coach
d5c6de4b46429c2a049ff2149b46bc35,ATL,MIA,TRUE,292.09,328.6,Delta,coach
f2a803cf36fef0c4c105e69134aacc95,ATL,MIA,TRUE,362.22,403.99,Frontier Airlines,coach
29f907db3e44e91233a4b185c0c85ee4,ATL,MIA,TRUE,385.12,428.6,Delta,coach
15e0d619b11c61e4101d6f7738b56964,ATL,ORD,TRUE,163.72,190.6,Delta,coach
81ac082d58bdc39bd60bb9ef290c0693,ATL,ORD,TRUE,163.72,190.6,American Airlines,coach
6743292aabcc43a0accdee201082bfbe,ATL,ORD,TRUE,174.88,202.6,United,coach
3e6d37eeb43ff5d5e617646c81a20c47,ATL,ORD,TRUE,189.77,218.6,Delta,coach
c1c896c7837e569f18d64abb7ed47357,ATL,ORD,TRUE,227.91,259.6,American Airlines,coach
a6c6e75eb808f98b2bb038b0b91c6fb6,ATL,ORD,TRUE,236.28,268.6,Delta,coach
5e1c09de8fde7c1becd0fadb0363b249,ATL,ORD,TRUE,245.58,278.6,United,coach
683c8dbf7ab93858a5ebeb650a956adc,ATL,ORD,TRUE,273.49,308.6,Delta,coach
90261b51f671a2e11fa9fa719d615512,ATL,ORD,TRUE,292.09,328.6,United,coach
cb515dd8bc03c10b6a4ee98f29d8fc49,ATL,ORD,TRUE,1585.12,1718.6,American Airlines,first
87c708e63f217cd70ac81dcb44b94e2f,ATL,PHL,TRUE,264.19,298.6,Delta,coach
9ded087f36a1b4cdadaa7ba8e2a38523,ATL,PHL,TRUE,305.12,342.6,American Airlines,coach
2061002557077295d8a9d7c2b480fb34,ATL,PHL,TRUE,362.22,403.99,Frontier Airlines,coach
90ccb3cc1e1d279854dd84958f1b025b,ATL,PHL,TRUE,413.02,458.6,Delta,coach
62b551ed7a35cfb029c70e31aee782c9,ATL,PHL,TRUE,413.02,458.6,American Airlines,coach
ee13167efdb5943fbce190280d6ebbcf,ATL,PHL,TRUE,636.28,698.6,Delta,coach
6dcdd614ce532ea4095eb5265f206720,ATL,PHL,TRUE,1500.47,1627.61,American Airlines,first
0a33a464dda48609c00cffcaf1a9ac48,ATL,SFO,TRUE,506.05,558.6,Delta,coach
d35f8240f444be30994c3ae558961778,ATL,SFO,TRUE,645.58,708.6,Delta,coach
110ed45bf8fd548e1c03eadd87c5339c,ATL,DEN,TRUE,241.29,273.99,Frontier Airlines,coach
35176ea960941a243d04ae07ea39dd2c,ATL,DFW,TRUE,329.3,368.6,Delta,coach
4b7dc6b63674667071bdc075855b9a0c,ATL,DFW,TRUE,375.81,418.6,Delta,coach
75e96511e73ee6bfef8f25980586fb69,ATL,DTW,TRUE,139,195.59,Spirit Airlines,coach
4ce899ea918c09b67e0afcc226e23013,ATL,EWR,TRUE,51,107.59,Spirit Airlines,coach
6288ab6bc1017a78d224212e8f4e0913,ATL,EWR,TRUE,218.6,249.6,JetBlue Airways,coach
23ab64b327b1c7878eea556cd64fae56,ATL,EWR,TRUE,264.19,298.6,Delta,coach
ef0383ac84cfc6f01c0650987c5fcba0,ATL,EWR,TRUE,282.79,318.6,American Airlines,coach
2e0a935b46fb6369c0af6a446d7a9809,ATL,IAD,TRUE,199.07,228.6,United,coach
6e968586140304e08304197558027186,ATL,IAD,TRUE,245.58,278.6,Delta,coach
387a0af76e6c8cc30c140d13b9890c6e,ATL,IAD,TRUE,282.79,318.6,United,coach
4cba2cb68c2a412deead37752dc62b97,ATL,IAD,TRUE,543.26,598.61,Delta,coach
535a65082254a9d101e96e0e7a3a4288,ATL,LAX,TRUE,303,359.59,Spirit Airlines,coach
22a5e0567dce5be031d31af98150722c,ATL,LAX,TRUE,462,518.59,Spirit Airlines,coach
19169a86688cf3cee1cdd308c680177e,ATL,LAX,TRUE,524.65,578.6,Delta,coach
60e6e570acbfa57ece9ad36e631ed10b,ATL,LGA,TRUE,133.38,157.98,Frontier Airlines,coach
d7d70d2738c667f648238422d09c052d,ATL,LGA,TRUE,310.7,348.6,Delta,coach
b3525d9ef62b1289c733d3b183b5d4a9,ATL,MIA,TRUE,90,146.59,Spirit Airlines,coach
eca8fa79663daf5b4a3ca85b518fa340,ATL,MIA,TRUE,152.56,178.6,Delta,coach
765f0dbee596249c301909fbbffc612b,ATL,ORD,TRUE,117.21,140.6,Delta,coach
492d7b5b933722aedc24c60c7eb1f45a,ATL,ORD,TRUE,117.21,140.6,United,coach
d2da45ad022a3eed22bd6e924114fce2,ATL,ORD,TRUE,104,160.59,Spirit Airlines,coach
2704577d9883603875b2bf59ff289dc2,ATL,ORD,TRUE,152.56,178.6,United,coach
2f67663b983361f9dc57a71db76bba94,ATL,ORD,TRUE,292.09,328.6,American Airlines,coach
8eb828be45a1ea6552c6c8d612b6f6a4,ATL,ORD,TRUE,320,358.6,Delta,coach
87d8bb273483dbbe82bea6986f6274c6,ATL,PHL,TRUE,75.71,95.99,Frontier Airlines,coach
511e128c1e60121a04dd9a4e474fea50,ATL,PHL,TRUE,134,190.59,Spirit Airlines,coach
1c9705ba3d1f0f5763f50aff2bb215d9,ATL,PHL,TRUE,329.3,368.6,Delta,coach
57bb0883bde795037ecbded4eb4b2a4d,ATL,PHL,TRUE,422.33,468.61,Delta,coach
2f438b7db301856914b97f7c4731178f,ATL,PHL,TRUE,753.49,824.6,Delta,first
f201c9e8ae13396d1b586c0ebd732728,ATL,BOS,TRUE,161.86,188.6,JetBlue Airways,coach
6ed50001f96d9e9f00706f80596c7531,ATL,BOS,TRUE,189.77,218.6,American Airlines,coach
e39f27fe8ccd3261ef27c94c4f8122b9,ATL,BOS,TRUE,310.7,348.6,Delta,coach
5ceee232108f14ef1324d65cffd2cd21,ATL,DEN,TRUE,92.45,113.98,Frontier Airlines,coach
3fa2ebe27bc5f0b68bf48beb93afddfb,ATL,DEN,TRUE,199.07,228.6,United,coach
0af4e260853c4c7888a84f32ff7a7c21,ATL,DEN,TRUE,252.09,285.6,Delta,coach
5515645ea1c6784cea714e53f9c91a54,ATL,DEN,TRUE,310.7,348.6,Delta,coach
4512964ae2e056a106d764ff61cc3c89,ATL,DEN,TRUE,450.23,498.6,Delta,coach
ec70889808acb24213ef25e26abe20ae,ATL,DFW,TRUE,73.85,93.99,Frontier Airlines,coach
37314ee5b68a14598d27f19afba5baaa,ATL,DFW,TRUE,62,118.59,Spirit Airlines,coach
b64ca4eb50c4b759f8bb123a438fd90f,ATL,DFW,TRUE,164.65,191.6,Delta,coach
c33c88ce648f15cd9bff441290b95f52,ATL,DFW,TRUE,164.65,191.6,American Airlines,coach
3dc725b8617d955ca5c842ab5a231a9f,ATL,DFW,TRUE,211.16,241.6,Delta,coach
5eceab0765ef8a39f2ff972310f16c04,ATL,DFW,TRUE,273.49,308.6,Delta,coach
17f6aaf4291ec026a64d330deb656013,ATL,DTW,TRUE,79,135.59,Spirit Airlines,coach
5914215e602d4b52993ab3815ca040a3,ATL,EWR,TRUE,81,137.59,Spirit Airlines,coach
2912bee5c1cbecaea1a9c6e60112db8b,ATL,EWR,TRUE,129.3,153.6,United,coach
ed06d90eefd253275e6e33a344a330bf,ATL,EWR,TRUE,161.86,188.6,Delta,coach
76690355fdd94d3fd7f2a6acbd862691,ATL,EWR,TRUE,180.47,208.61,Delta,coach
c64475003fa4056ecd0c21b39bf95587,ATL,EWR,TRUE,226.98,258.6,Delta,coach
46b6b6a05a56adb45376a993a70cc590,ATL,EWR,TRUE,301.4,338.61,Delta,coach
e367256e8bdde9aa3e7c98f74e4f1825,ATL,IAD,TRUE,164.65,191.6,Delta,coach
4795253d3faf66fa7e233c09276620ea,ATL,IAD,TRUE,164.65,191.6,United,coach
eede42950e021d1f57534b071a0439f4,ATL,IAD,TRUE,357.21,398.6,Delta,coach
4dc5493ad27713720b03ada81df199bd,ATL,IAD,TRUE,688.37,754.6,Delta,first
3dbab70fca37fec0bb0082b66c654cf1,ATL,JFK,TRUE,129.3,153.6,Delta,coach
89a1d9c01194b869d9485acac1e30642,ATL,JFK,TRUE,189.77,218.6,Delta,coach
145cfc301a968f915f571c3d18ecd07e,ATL,JFK,TRUE,282.79,318.6,Delta,coach
4573bd26bf53a03b8212cec765fcce80,ATL,JFK,TRUE,496.74,548.6,JetBlue Airways,coach
d2517b53a3a930fdef304be3232920f7,ATL,JFK,TRUE,520,573.6,American Airlines,coach
9247ab5a948b42dafc240e3bc9e28228,ATL,LAX,TRUE,282,338.59,Spirit Airlines,coach
f8e299596ac5325b9332f9e03d09135b,ATL,LAX,TRUE,608.37,668.6,Delta,coach
9635f80bf029851467c0cd294f7fa20d,ATL,LGA,TRUE,129.3,153.6,Delta,coach
be865bbe1f3dc38546eb97a4a2e13003,ATL,LGA,TRUE,129.3,153.6,American Airlines,coach
e2697d60e6a5192e97d38193b9c3b6d6,ATL,LGA,TRUE,217.67,248.6,Delta,coach
0571614b094c78ccf29b9fe7bdea068b,ATL,MIA,TRUE,47.8,65.99,Frontier Airlines,coach
156ee98f0cdf72c0583d2fd8efd55081,ATL,MIA,TRUE,30,86.59,Spirit Airlines,coach
0de47671328153b4fb0fbce3b01024f1,ATL,MIA,TRUE,89.3,110.6,Delta,coach
751ddc9cb63b9fa840ca77e07387ca2f,ATL,MIA,TRUE,89.3,110.6,American Airlines,coach
dfff07c76521dc2620065b53050953bb,ATL,MIA,TRUE,115.35,138.6,Delta,coach
eac415513874b8eaf006527c3daf4468,ATL,MIA,TRUE,159.07,185.6,American Airlines,coach
ce791c1745df0c896d9179e7eccedae3,ATL,ORD,TRUE,84,140.59,Spirit Airlines,coach
03d23607fa8108321bdcf71c4f265c80,ATL,ORD,TRUE,117.21,140.6,American Airlines,coach
d6be33f2e859e35d6680096eb20deb2f,ATL,ORD,TRUE,164.65,191.6,United,coach
3c4282ac11c8c6666ed17690183a016d,ATL,PHL,TRUE,164.65,191.6,American Airlines,coach
b446c9982d07ab745e06deda78be8e26,ATL,PHL,TRUE,164,220.59,Spirit Airlines,coach
0c8659c311fa0baffb20dfb022c78756,ATL,PHL,TRUE,245.58,278.6,American Airlines,coach
7fb769539937c9a8e253b5b682c56804,ATL,PHL,TRUE,269.19,303.98,Frontier Airlines,coach
4ced7a9d7e4681789f590a3979f1a6c7,ATL,PHL,TRUE,301.4,338.61,Delta,coach
6611ea7274e7d3c8324301d054798803,ATL,PHL,TRUE,301.4,338.61,American Airlines,coach
5def18aa97c90c49237c80e4d97d3fc3,ATL,PHL,TRUE,338.6,378.6,Delta,coach
c71fc0a79b2ee5b8ab789527c38141a0,ATL,DEN,TRUE,124.65,148.6,Delta,coach
b88f9cd5254691e96fda752d4a18b564,ATL,DEN,TRUE,180.47,208.61,Delta,coach
9f8667c397973df1e48d9bd86da384ef,ATL,DEN,TRUE,222.68,253.98,Frontier Airlines,coach
a3b75cbc899f638567de898fdc7a343f,ATL,DFW,TRUE,292.09,328.6,American Airlines,coach
7bd62c891e846ef81503fb8180fc9add,ATL,DTW,TRUE,874.42,954.6,Delta,first
daabab34c056af4c2b41e894e14a6eaf,ATL,EWR,TRUE,84,140.59,Spirit Airlines,coach
d99996104b7172fc8c72226e7780d547,ATL,EWR,TRUE,171.16,198.6,United,coach
1676e901c9343ff4d3b52250d606dd43,ATL,EWR,TRUE,189.77,218.6,United,coach
e79313f241fe26d65e12952eb9d473b7,ATL,EWR,TRUE,254.88,288.6,United,coach
d32db42d0a7f0e6a5cba960e4dd82a21,ATL,EWR,TRUE,403.72,448.6,Delta,coach
93c2a8d54a3418fa5459a3dae89f64a3,ATL,LGA,TRUE,273.49,308.6,Delta,coach
5f90c31822b661d5f5c24d8ede71b776,ATL,MIA,TRUE,112.56,135.6,American Airlines,coach
840c49425988179c945d2cf68d9b54bb,ATL,ORD,TRUE,147.91,173.6,Delta,coach
a3359e3faec8ee7b4c69035382cbc206,ATL,ORD,TRUE,208.37,238.6,United,coach
e954440b456daf7c6bdb6689adaf3a03,ATL,ORD,TRUE,406.51,451.6,American Airlines,coach
2260da4101c4765a3d5b8c33bd7f971b,ATL,PHL,TRUE,90.59,111.98,Frontier Airlines,coach
1d69bc956ba66378c4bbc827bc697d65,ATL,PHL,TRUE,217.67,248.6,Delta,coach
3ec15f96a4dad30be679356bf1d2b4fe,ATL,PHL,TRUE,194,250.59,Spirit Airlines,coach
3d3d726364934d0d8391ee60c988e039,ATL,BOS,TRUE,282.79,318.6,JetBlue Airways,coach
0f2b2b1b741fb36a6d5806c8280079b5,ATL,BOS,TRUE,310.7,348.6,American Airlines,coach
647b3daa38d1df2a007653f0f69c0a5b,ATL,BOS,TRUE,431.63,478.6,Delta,coach
1f7d968890bf0a9d0c7f45dbc58e340d,ATL,BOS,TRUE,552.56,608.6,Delta,coach
702e4c07e18c910bcf1c973fcaf90652,ATL,BOS,TRUE,729.3,798.6,Delta,coach
3c436a347d9146e0f18b013b6fbdfef6,ATL,DFW,TRUE,87.8,108.99,Frontier Airlines,coach
40f7478555b1d13c72a6168e6eda6860,ATL,DFW,TRUE,366.51,408.6,American Airlines,coach
0932ba716af02bc9ae49f78378542821,ATL,DFW,TRUE,544.19,599.6,American Airlines,coach
414f01347bf0599b5055d7e5e5d12961,ATL,EWR,TRUE,114,170.59,Spirit Airlines,coach
77e59f4c4a15219e8aa5ae91f5a871a5,ATL,EWR,TRUE,292.09,328.6,United,coach
310972b0a5d5a445f8aa937cab823ec3,ATL,EWR,TRUE,366.51,408.6,United,coach
74ca53a6db5d50e9566e1afc2398f7d6,ATL,IAD,TRUE,292.09,328.6,Delta,coach
6cd329fe3815977f824f42b9c87d0a11,ATL,JFK,TRUE,422.33,468.61,JetBlue Airways,coach
8e40e097dfc352cf90f089d9abdba6bb,ATL,LGA,TRUE,81.29,101.99,Frontier Airlines,coach
abeb8f5da8cc59b15b1a79952a5b8691,ATL,LGA,TRUE,226.98,258.6,JetBlue Airways,coach
52156f2225b77fd70de22ced61b103cf,ATL,LGA,TRUE,226.98,258.6,American Airlines,coach
ab69f8446a6b77c0ce0c8e15ed085191,ATL,LGA,TRUE,292.09,328.6,JetBlue Airways,coach
cfcae0a64745a8348fd02dda453fbc00,ATL,LGA,TRUE,292.09,328.6,American Airlines,coach
86bb823cfde572447dfbb4fb621e0c50,ATL,MIA,TRUE,269.19,303.98,Frontier Airlines,coach
aa557b7b25ee517b37526f841b76a347,ATL,ORD,TRUE,164,220.59,Spirit Airlines,coach
80ea1faf4eb8958d7464b9e337c62972,ATL,ORD,TRUE,217.67,248.6,Delta,coach
617d298fc261afb72c521e4268ad0afe,ATL,ORD,TRUE,431.63,478.6,United,coach
874e6c16a9f71e1395ee787fb8a3de45,ATL,PHL,TRUE,166.87,193.99,Frontier Airlines,coach
06c97d7fbc4eb56b75d4ab50b9ce8f80,ATL,BOS,TRUE,378.7,421.7,JetBlue Airways,coach
097c68a3be9a71895215cfd1dd6d1592,ATL,BOS,TRUE,581.96,640.21,American Airlines,coach
b26be3ebbaef470d8009b7dc006c8a13,ATL,EWR,TRUE,431.63,478.6,United,coach
a7cbdfdbd724b3a8208ec933c2dc0101,ATL,EWR,TRUE,636.28,698.6,Delta,coach
3cfbb6792faf3d8f2903395e9daf2b5e,ATL,IAD,TRUE,226.98,258.6,Delta,coach
4cf10db8a77a0e5c54010bbe39b545fd,ATL,JFK,TRUE,729.3,798.6,Delta,coach
4407d9bdbc3a46751bcaa20bd23e1502,ATL,LGA,TRUE,320.36,358.99,Frontier Airlines,coach
89d4629faa857852480fee947f5ccb96,ATL,LGA,TRUE,371.16,413.6,Delta,coach
1585f5fc7a77a6ba094e660627570eb0,ATL,LGA,TRUE,371.16,413.6,American Airlines,coach
c1660b2f8120eb9fb2b2553daf844ad1,ATL,LGA,TRUE,371.16,413.6,JetBlue Airways,coach
7eac7f914b6cc1af3d6124b54aefdf65,ATL,LGA,TRUE,478.14,528.6,Delta,coach
9fedaad3d8fbcfdf24a5ff2d84ac6751,ATL,MIA,TRUE,60,116.59,Spirit Airlines,coach
62d3fcd234ceb71b63f2cf62ae9f69d1,ATL,MIA,TRUE,148.26,173.98,Frontier Airlines,coach
aad3f7b28b7996127887a7e6bb961009,ATL,ORD,TRUE,347.91,388.6,United,coach
da58c3118f8fee39c08aebdc264bb73a,ATL,PHL,TRUE,315.71,353.99,Frontier Airlines,coach
15f52084c28c42240e43aec635b05057,ATL,BOS,TRUE,204,260.59,Spirit Airlines,coach
ba0813f32f5d4416d272100c19ff0c7e,ATL,BOS,TRUE,338.6,378.6,Delta,coach
0242f4b10a0ed44f781c05622a8a7f88,ATL,BOS,TRUE,1000,1089.6,Delta,first
0c83a9848ed125344970defec7dcd3a8,ATL,DEN,TRUE,69.19,88.98,Frontier Airlines,coach
69087ad0ac67d63aac679c26e6ff643d,ATL,DEN,TRUE,87.44,108.6,United,coach
ab511d9c8777da1143c0fc04c82b9a0c,ATL,DEN,TRUE,106.05,128.6,United,coach
ab00f8f0d5bf6b5dd687f773454478d1,ATL,DEN,TRUE,133.95,158.6,United,coach
53ed2489595d3736076d5846662c7ac4,ATL,DEN,TRUE,171.16,198.6,Delta,coach
c57696856951c31afd7c2525f69b3127,ATL,DFW,TRUE,32,88.59,Spirit Airlines,coach
5e4201874e9223ca2049c9527107b43f,ATL,DFW,TRUE,110.7,133.6,Delta,coach
81a38fb07d5a34969e80fbbbf1d83317,ATL,DFW,TRUE,110.7,133.6,American Airlines,coach
e14e6103a7c43e5264e7eae8e2f7b13e,ATL,DFW,TRUE,157.21,183.6,American Airlines,coach
613a28e2a0a4d7aafbf59e601535c778,ATL,DTW,TRUE,49,105.59,Spirit Airlines,coach
882fb626dab30142fd861272837c2e4a,ATL,DTW,TRUE,357.21,398.6,Delta,coach
414f854698bc322060c4a31e36a70462,ATL,DTW,TRUE,403.72,448.6,Delta,coach
0176b7365c957eb96e1ef69937844eea,ATL,EWR,TRUE,224,280.59,Spirit Airlines,coach
7845c0437607d3e3de2c571dd54e643e,ATL,EWR,TRUE,682.79,748.6,United,premium coach
5912f6ebc0a2e40f04d989392e441294,ATL,EWR,TRUE,874.42,954.6,Delta,first
07a2f46d1e5defdb42e797b8d93676d9,ATL,IAD,TRUE,157.21,183.6,United,coach
b8610f9932d26ee92cdbd21b4dcc132b,ATL,IAD,TRUE,217.67,248.6,Delta,coach
3f3075d02fa46fcd3a995adced8fdbb6,ATL,IAD,TRUE,264.19,298.6,Delta,coach
f14e9a0843c9ccab5e444bb450e3195c,ATL,IAD,TRUE,310.7,348.6,Delta,coach
20a0bbdc1a285f343cecea6545643e75,ATL,JFK,TRUE,645.76,708.79,JetBlue Airways,coach
5b925ee27412293d04bb6acd9acd93ef,ATL,LAX,TRUE,182,238.59,Spirit Airlines,coach
124ce1c35d83635d3db02c87ff320d69,ATL,LAX,TRUE,357.21,398.6,Delta,coach
f295ef632a041ca476f7e2320033b55e,ATL,LAX,TRUE,366.51,408.6,American Airlines,coach
cef9effb1dd24973f11cac6419306057,ATL,LAX,TRUE,366.51,408.6,Delta,coach
ae7c5c4881bff9a1e3371e4288dcb937,ATL,LAX,TRUE,403.72,448.6,Alaska Airlines,coach
0024b874e29b78b255058e9e8f625455,ATL,LAX,TRUE,403.72,448.6,Delta,coach
27d268cc4b7c185a7000e44f96e22919,ATL,LAX,TRUE,413.02,458.6,Delta,coach
58371ea0898741992d57c478b9fe7dee,ATL,LGA,TRUE,450.23,498.6,JetBlue Airways,coach
f35cbba3dea88f418355d10ef16d58a0,ATL,LGA,TRUE,450.23,498.6,American Airlines,coach
e2a2c597e70faf293b978a452cd5d9e6,ATL,LGA,TRUE,729.3,798.6,Delta,coach
f23fe7b13866bce38b70d92acd56bd83,ATL,MIA,TRUE,31.05,47.98,Frontier Airlines,coach
3ba4103fe449984fdf49e41671cab8cd,ATL,MIA,TRUE,7.41,64,Spirit Airlines,coach
93f368cde2117c950174927cc236b427,ATL,MIA,TRUE,87.44,108.6,Delta,coach
e71b6b3617ba272bafd173e594a15551,ATL,MIA,TRUE,87.44,108.6,American Airlines,coach
e80d4ab1537bc3b12574398615716f83,ATL,ORD,TRUE,152.56,178.6,Delta,coach
ef5c0957a216c0cf20f92eee579f014f,ATL,ORD,TRUE,180.47,208.61,Delta,coach
2f7b01b1e6f95c41f2300a2c1069700f,ATL,ORD,TRUE,236.28,268.6,United,coach
48d48caa2e91cb0b392a21edf03313d7,ATL,ORD,TRUE,264.19,298.6,Delta,coach
3ff0f20134074b78601fb3fb35d03d32,ATL,PHL,TRUE,222.68,253.98,Frontier Airlines,coach
dd54dedcaa1839ed4703541bdef4eaac,ATL,SFO,TRUE,413.02,458.6,Delta,coach
ea4d71009715da5ba6aa9d09201a557e,ATL,SFO,TRUE,636.28,698.6,Delta,coach
6635047c6fce76658ad89c6d6a9d1de8,ATL,SFO,TRUE,915.35,998.6,Delta,coach
f84b13918a1d042fe88e0f714573bd48,ATL,BOS,TRUE,621.58,682.8,JetBlue Airways,coach
26a1f2b40e76c42fd121a0e5e2bf76e7,ATL,BOS,TRUE,657.87,721.81,American Airlines,coach
ca5f33091ca7750986622912fd3856a6,ATL,DEN,TRUE,180.47,208.61,United,coach
fe510dafdf8c3c8c329263c2e690c16c,ATL,DEN,TRUE,185.47,213.98,Frontier Airlines,coach
818562b089397cc6a18b6d2369f3cfb8,ATL,DEN,TRUE,226.98,258.6,Delta,coach
aa1bff313436b770d69414fe0ebfee60,ATL,DEN,TRUE,252.09,285.6,United,coach
bbe642efbbbb8768511deb2bb8132594,ATL,DEN,TRUE,310.7,348.6,United,coach
b5cdca9527fe96480859d14ee4e60f7d,ATL,DFW,TRUE,124.65,148.6,American Airlines,coach
cebe57f57ccf620fdb8c7e9c48168e09,ATL,DFW,TRUE,166.87,193.99,Frontier Airlines,coach
76197017cfb8931913c9d27180ed4fad,ATL,DFW,TRUE,152,208.59,Spirit Airlines,coach
